threshold,TP,FP,TN,FN,precision,recall
0.0,73,8,0,0,0.9012345679012346,1.0
0.05,71,8,0,2,0.8987341772151899,0.9726027397260274
0.1,68,7,1,5,0.9066666666666666,0.9315068493150684
0.15000000000000002,58,5,3,15,0.9206349206349206,0.7945205479452054
0.2,48,1,7,25,0.9795918367346939,0.6575342465753424
0.25,25,0,8,48,1.0,0.3424657534246575
0.30000000000000004,19,0,8,54,1.0,0.2602739726027397
0.35000000000000003,15,0,8,58,1.0,0.2054794520547945
0.4,13,0,8,60,1.0,0.1780821917808219
0.45,11,0,8,62,1.0,0.1506849315068493
0.5,9,0,8,64,1.0,0.1232876712328767
0.55,9,0,8,64,1.0,0.1232876712328767
0.6000000000000001,9,0,8,64,1.0,0.1232876712328767
0.65,9,0,8,64,1.0,0.1232876712328767
0.7000000000000001,9,0,8,64,1.0,0.1232876712328767
0.75,9,0,8,64,1.0,0.1232876712328767
0.8,9,0,8,64,1.0,0.1232876712328767
0.8500000000000001,9,0,8,64,1.0,0.1232876712328767
0.9,9,0,8,64,1.0,0.1232876712328767
0.9500000000000001,9,0,8,64,1.0,0.1232876712328767
1.0,0,0,8,73,1,0.0
