threshold,TP,FP,TN,FN,precision,recall
0.0,181,138,0,0,0.567398119122257,1.0
0.05,166,125,13,15,0.570446735395189,0.9171270718232044
0.1,153,110,28,28,0.5817490494296578,0.8453038674033149
0.15000000000000002,133,82,56,48,0.6186046511627907,0.7348066298342542
0.2,108,53,85,73,0.6708074534161491,0.5966850828729282
0.25,69,28,110,112,0.711340206185567,0.3812154696132597
0.30000000000000004,56,17,121,125,0.7671232876712328,0.30939226519337015
0.35000000000000003,49,8,130,132,0.8596491228070176,0.27071823204419887
0.4,41,2,136,140,0.9534883720930233,0.2265193370165746
0.45,38,1,137,143,0.9743589743589743,0.20994475138121546
0.5,35,0,138,146,1.0,0.19337016574585636
