threshold,TP,FP,TN,FN,precision,recall
0.0,61,60,0,0,0.5041322314049587,1.0
0.05,51,58,2,10,0.46788990825688076,0.8360655737704918
0.1,47,54,6,14,0.46534653465346537,0.7704918032786885
0.15000000000000002,43,46,14,18,0.48314606741573035,0.7049180327868853
0.2,38,37,23,23,0.5066666666666667,0.6229508196721312
0.25,27,22,38,34,0.5510204081632653,0.4426229508196721
0.30000000000000004,21,16,44,40,0.5675675675675675,0.3442622950819672
0.35000000000000003,19,8,52,42,0.7037037037037037,0.3114754098360656
0.4,13,2,58,48,0.8666666666666667,0.21311475409836064
0.45,12,1,59,49,0.9230769230769231,0.19672131147540983
0.5,11,0,60,50,1.0,0.18032786885245902
0.55,11,0,60,50,1.0,0.18032786885245902
0.6000000000000001,11,0,60,50,1.0,0.18032786885245902
0.65,11,0,60,50,1.0,0.18032786885245902
0.7000000000000001,11,0,60,50,1.0,0.18032786885245902
0.75,11,0,60,50,1.0,0.18032786885245902
0.8,11,0,60,50,1.0,0.18032786885245902
0.8500000000000001,11,0,60,50,1.0,0.18032786885245902
0.9,11,0,60,50,1.0,0.18032786885245902
0.9500000000000001,11,0,60,50,1.0,0.18032786885245902
1.0,0,0,60,61,1,0.0
