threshold,TP,FP,TN,FN,precision,recall
0.0,19,17,0,0,0.5277777777777778,1.0
0.05,9,1,16,10,0.9,0.47368421052631576
0.1,6,0,17,13,1.0,0.3157894736842105
0.15000000000000002,6,0,17,13,1.0,0.3157894736842105
0.2,6,0,17,13,1.0,0.3157894736842105
0.25,6,0,17,13,1.0,0.3157894736842105
0.30000000000000004,6,0,17,13,1.0,0.3157894736842105
0.35000000000000003,6,0,17,13,1.0,0.3157894736842105
0.4,6,0,17,13,1.0,0.3157894736842105
0.45,6,0,17,13,1.0,0.3157894736842105
0.5,6,0,17,13,1.0,0.3157894736842105
0.55,6,0,17,13,1.0,0.3157894736842105
0.6000000000000001,6,0,17,13,1.0,0.3157894736842105
0.65,6,0,17,13,1.0,0.3157894736842105
0.7000000000000001,6,0,17,13,1.0,0.3157894736842105
0.75,6,0,17,13,1.0,0.3157894736842105
0.8,6,0,17,13,1.0,0.3157894736842105
0.8500000000000001,6,0,17,13,1.0,0.3157894736842105
0.9,6,0,17,13,1.0,0.3157894736842105
0.9500000000000001,6,0,17,13,1.0,0.3157894736842105
1.0,0,0,17,19,1,0.0
