threshold,TP,FP,TN,FN,precision,recall
0.0,61,60,0,0,0.5041322314049587,1.0
0.05,50,53,7,11,0.4854368932038835,0.819672131147541
0.1,44,49,11,17,0.4731182795698925,0.7213114754098361
0.15000000000000002,38,36,24,23,0.5135135135135135,0.6229508196721312
0.2,28,17,43,33,0.6222222222222222,0.45901639344262296
0.25,20,5,55,41,0.8,0.32786885245901637
0.30000000000000004,17,2,58,44,0.8947368421052632,0.2786885245901639
0.35000000000000003,14,2,58,47,0.875,0.22950819672131148
0.4,11,0,60,50,1.0,0.18032786885245902
0.45,11,0,60,50,1.0,0.18032786885245902
0.5,11,0,60,50,1.0,0.18032786885245902
