threshold,TP,FP,TN,FN,precision,recall
0.0,181,138,0,0,0.567398119122257,1.0
0.05,163,112,26,18,0.5927272727272728,0.9005524861878453
0.1,132,89,49,49,0.5972850678733032,0.7292817679558011
0.15000000000000002,98,46,92,83,0.6805555555555556,0.5414364640883977
0.2,74,19,119,107,0.7956989247311828,0.4088397790055249
0.25,50,5,133,131,0.9090909090909091,0.27624309392265195
0.30000000000000004,45,2,136,136,0.9574468085106383,0.24861878453038674
0.35000000000000003,38,2,136,143,0.95,0.20994475138121546
0.4,35,0,138,146,1.0,0.19337016574585636
0.45,35,0,138,146,1.0,0.19337016574585636
0.5,35,0,138,146,1.0,0.19337016574585636
0.55,35,0,138,146,1.0,0.19337016574585636
0.6000000000000001,35,0,138,146,1.0,0.19337016574585636
0.65,35,0,138,146,1.0,0.19337016574585636
0.7000000000000001,35,0,138,146,1.0,0.19337016574585636
0.75,35,0,138,146,1.0,0.19337016574585636
0.8,35,0,138,146,1.0,0.19337016574585636
0.8500000000000001,35,0,138,146,1.0,0.19337016574585636
0.9,35,0,138,146,1.0,0.19337016574585636
0.9500000000000001,35,0,138,146,1.0,0.19337016574585636
1.0,0,0,138,181,1,0.0
