threshold,TP,FP,TN,FN,precision,recall
0.0,28,53,0,0,0.345679012345679,1.0
0.05,25,38,15,3,0.3968253968253968,0.8928571428571429
0.1,17,25,28,11,0.40476190476190477,0.6071428571428571
0.15000000000000002,11,7,46,17,0.6111111111111112,0.39285714285714285
0.2,11,2,51,17,0.8461538461538461,0.39285714285714285
0.25,9,0,53,19,1.0,0.32142857142857145
0.30000000000000004,9,0,53,19,1.0,0.32142857142857145
0.35000000000000003,9,0,53,19,1.0,0.32142857142857145
0.4,9,0,53,19,1.0,0.32142857142857145
0.45,9,0,53,19,1.0,0.32142857142857145
0.5,9,0,53,19,1.0,0.32142857142857145
0.55,9,0,53,19,1.0,0.32142857142857145
0.6000000000000001,9,0,53,19,1.0,0.32142857142857145
0.65,9,0,53,19,1.0,0.32142857142857145
0.7000000000000001,9,0,53,19,1.0,0.32142857142857145
0.75,9,0,53,19,1.0,0.32142857142857145
0.8,9,0,53,19,1.0,0.32142857142857145
0.8500000000000001,9,0,53,19,1.0,0.32142857142857145
0.9,9,0,53,19,1.0,0.32142857142857145
0.9500000000000001,9,0,53,19,1.0,0.32142857142857145
1.0,0,0,53,28,1,0.0
