Average: 0.13390428030171866
ID	Reference	Hypothesis	s+wms
0	At least two dead and dozens injured when bombs go off near finish line.	At least two dead and dozens injured when bombs go off near finish line.	0.9990239766359854
1	At least two dead and dozens injured when bombs go off near finish line.	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	0.05158452433697041
2	At least two dead and dozens injured when bombs go off near finish line.	Pressure cookers are believed to have been used to make the crude bombs that sent torrents of deadly shrapnel hurling into a crowd of onlookers and competitors at Monday’s Boston Marathon, experts told Fox News	0.012095713835742062
3	At least two dead and dozens injured when bombs go off near finish line.	Two deadly bomb blasts, seconds apart, turned the 117th Boston Marathon – the nation’s premier event for elite and recreational runners – into a tragedy on Monday. Here is a timeline of how the day’s events unfolded: 9 a.m. ET — Race …	0.008969842024000687
4	At least two dead and dozens injured when bombs go off near finish line.	When two bombs detonated in the final stretch of the Boston Marathon on Monday afternoon, runners, spectators and people across the country and around the world were stunned by the public nature of	0.018629101592796366
5	At least two dead and dozens injured when bombs go off near finish line.	Mayhem descended on the Boston marathon Monday afternoon, when an explosion at the finish line killed at least two and injured at least 23. TIME is tracking the breaking news from the scene in downtown Boston. Follow here for constant updates. 5:45 p.m.	0.0241207903802655
6	At least two dead and dozens injured when bombs go off near finish line.	Two bombs exploded in the packed streets near the finish line of the Boston Marathon on Monday, killing two people and injuring more than 100 in a terrifying scene of shattered glass, billowing smoke, bloodstained pavement and severed limbs, authorities said	0.029568971997542947
7	At least two dead and dozens injured when bombs go off near finish line.	Blasts near the finish line of the renowned race caused dozens of injuries and scattered crowds.	0.05288526578900456
8	At least two dead and dozens injured when bombs go off near finish line.	Two deadly explosions brought the Boston Marathon and much of this city to a chaotic halt Monday, killing at least three people, injuring about 140 and once again raising the specter of terrorism on American soil.	0.01858101320555135
9	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	At least two dead and dozens injured when bombs go off near finish line.	0.05158452433697041
10	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	1.0
11	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Pressure cookers are believed to have been used to make the crude bombs that sent torrents of deadly shrapnel hurling into a crowd of onlookers and competitors at Monday’s Boston Marathon, experts told Fox News	0.02107853760409013
12	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Two deadly bomb blasts, seconds apart, turned the 117th Boston Marathon – the nation’s premier event for elite and recreational runners – into a tragedy on Monday. Here is a timeline of how the day’s events unfolded: 9 a.m. ET — Race …	0.01873903260344872
13	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	When two bombs detonated in the final stretch of the Boston Marathon on Monday afternoon, runners, spectators and people across the country and around the world were stunned by the public nature of	0.038765740802071055
14	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Mayhem descended on the Boston marathon Monday afternoon, when an explosion at the finish line killed at least two and injured at least 23. TIME is tracking the breaking news from the scene in downtown Boston. Follow here for constant updates. 5:45 p.m.	0.05029407884303318
15	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Two bombs exploded in the packed streets near the finish line of the Boston Marathon on Monday, killing two people and injuring more than 100 in a terrifying scene of shattered glass, billowing smoke, bloodstained pavement and severed limbs, authorities said	0.041168020836747234
16	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Blasts near the finish line of the renowned race caused dozens of injuries and scattered crowds.	0.01982450089948155
