Average: 0.09059072450432802
ID	Reference	Hypothesis	s+wms
0	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.4573251954439721
1	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	1.0114941975767612e-06
2	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	1.4722825116677504e-06
3	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	2.779340707495149e-06
4	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	6.917897183012451e-07
5	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	3.4446042797289147e-07
6	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	9.737394463789863e-07
7	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.7445164646411457
8	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	8.606309845751894e-07
9	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	1.2241321806506654e-06
10	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	3.94649852568387e-07
11	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	4.5389666690291e-07
12	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	1.4007586832584377e-06
13	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	8.719957648815616e-07
14	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.9535053191091463
15	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	1.5528736057933159e-06
