Average: 0.12591069457917475
ID	Reference	Hypothesis	s+wms
0	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	1.0
1	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.013260265591195362
2	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.03036571714544274
3	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.03466612272831395
4	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.013501467267065722
5	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.01624536063572903
6	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.013260265591195362
7	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	1.0
8	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.013950889232188768
9	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.02190307743339601
