Average: 0.1062702508905693
ID	Reference	Hypothesis	s+wms
0	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.9993236288124936
1	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.036518935792226564
2	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.0199287577302624
3	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.01790187971238085
4	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.017203259581110686
5	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.03973386759978715
6	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.015757989206103756
7	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.0410324705325209
8	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.005727956572499513
9	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.006739164799549568
10	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.02373306695796187
11	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.036518935792226564
12	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.9993097383211589
13	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.011556657922290426
