threshold,TP,FP,TN,FN,precision,recall
0.76,73,8,0,0,0.9012345679012346,0.9012345679012346
0.78,73,8,0,0,0.9012345679012346,0.9012345679012346
0.8,73,8,0,0,0.9012345679012346,0.9012345679012346
0.82,73,8,0,0,0.9012345679012346,0.9012345679012346
0.84,73,8,0,0,0.9012345679012346,0.9012345679012346
0.86,71,8,0,2,0.8987341772151899,0.8987341772151899
0.88,63,6,2,10,0.9130434782608695,0.9130434782608695
0.9,50,3,5,23,0.9433962264150944,0.9433962264150944
0.92,39,2,6,34,0.9512195121951219,0.9512195121951219
0.94,17,0,8,56,1.0,1.0
0.96,9,0,8,64,1.0,1.0
0.98,9,0,8,64,1.0,1.0
1.0,9,0,8,64,1.0,1.0
