threshold,TP,FP,TN,FN,precision,recall
0.76,28,53,0,0,0.345679012345679,0.345679012345679
0.78,26,51,2,2,0.33766233766233766,0.33766233766233766
0.8,25,46,7,3,0.352112676056338,0.352112676056338
0.82,25,46,7,3,0.352112676056338,0.352112676056338
0.84,24,43,10,4,0.3582089552238806,0.3582089552238806
0.86,23,38,15,5,0.3770491803278688,0.3770491803278688
0.88,22,31,22,6,0.41509433962264153,0.41509433962264153
0.9,17,16,37,11,0.5151515151515151,0.5151515151515151
0.92,13,10,43,15,0.5652173913043478,0.5652173913043478
0.94,11,0,53,17,1.0,1.0
0.96,9,0,53,19,1.0,1.0
0.98,9,0,53,19,1.0,1.0
1.0,9,0,53,19,1.0,1.0
