threshold,TP,FP,TN,FN,precision,recall
0.76,19,17,0,0,0.5277777777777778,0.5277777777777778
0.78,19,17,0,0,0.5277777777777778,0.5277777777777778
0.8,19,17,0,0,0.5277777777777778,0.5277777777777778
0.82,19,17,0,0,0.5277777777777778,0.5277777777777778
0.84,19,17,0,0,0.5277777777777778,0.5277777777777778
0.86,19,17,0,0,0.5277777777777778,0.5277777777777778
0.88,18,16,1,1,0.5294117647058824,0.5294117647058824
0.9,14,10,7,5,0.5833333333333334,0.5833333333333334
0.92,7,3,14,12,0.7,0.7
0.94,6,2,15,13,0.75,0.75
0.96,6,0,17,13,1.0,1.0
0.98,6,0,17,13,1.0,1.0
1.0,6,0,17,13,1.0,1.0
