threshold,TP,FP,TN,FN,precision,recall
0.76,73,8,0,0,0.9012345679012346,1.0
0.78,73,8,0,0,0.9012345679012346,1.0
0.8,73,8,0,0,0.9012345679012346,1.0
0.82,73,8,0,0,0.9012345679012346,1.0
0.84,73,8,0,0,0.9012345679012346,1.0
0.86,71,8,0,2,0.8987341772151899,0.9726027397260274
0.88,63,6,2,10,0.9130434782608695,0.863013698630137
0.9,50,3,5,23,0.9433962264150944,0.684931506849315
0.92,39,2,6,34,0.9512195121951219,0.5342465753424658
0.94,17,0,8,56,1.0,0.2328767123287671
0.96,9,0,8,64,1.0,0.1232876712328767
0.98,9,0,8,64,1.0,0.1232876712328767
1.0,9,0,8,64,1.0,0.1232876712328767
