threshold,TP,FP,TN,FN,precision,recall
0.76,28,53,0,0,0.345679012345679,1.0
0.78,26,51,2,2,0.33766233766233766,0.9285714285714286
0.8,25,46,7,3,0.352112676056338,0.8928571428571429
0.82,25,46,7,3,0.352112676056338,0.8928571428571429
0.84,24,43,10,4,0.3582089552238806,0.8571428571428571
0.86,23,38,15,5,0.3770491803278688,0.8214285714285714
0.88,22,31,22,6,0.41509433962264153,0.7857142857142857
0.9,17,16,37,11,0.5151515151515151,0.6071428571428571
0.92,13,10,43,15,0.5652173913043478,0.4642857142857143
0.94,11,0,53,17,1.0,0.39285714285714285
0.96,9,0,53,19,1.0,0.32142857142857145
0.98,9,0,53,19,1.0,0.32142857142857145
1.0,9,0,53,19,1.0,0.32142857142857145
