threshold,TP,FP,TN,FN,precision,recall
0.76,181,138,0,0,0.567398119122257,1.0
0.78,179,136,2,2,0.5682539682539682,0.988950276243094
0.8,176,129,9,5,0.5770491803278689,0.9723756906077348
0.82,175,128,10,6,0.5775577557755776,0.9668508287292817
0.84,164,121,17,17,0.5754385964912281,0.9060773480662984
0.86,155,104,34,26,0.5984555984555985,0.856353591160221
0.88,142,87,51,39,0.6200873362445415,0.7845303867403315
0.9,114,55,83,67,0.6745562130177515,0.6298342541436464
0.92,82,25,113,99,0.7663551401869159,0.4530386740331492
0.94,50,9,129,131,0.847457627118644,0.27624309392265195
0.96,35,0,138,146,1.0,0.19337016574585636
0.98,35,0,138,146,1.0,0.19337016574585636
1.0,35,0,138,146,1.0,0.19337016574585636
