threshold,TP,FP,TN,FN,precision,recall
0.0,28,53,0,0,0.345679012345679,1.0
0.05,28,53,0,0,0.345679012345679,1.0
0.1,28,53,0,0,0.345679012345679,1.0
0.15,28,53,0,0,0.345679012345679,1.0
0.2,28,53,0,0,0.345679012345679,1.0
0.25,28,53,0,0,0.345679012345679,1.0
0.3,28,53,0,0,0.345679012345679,1.0
0.35,28,53,0,0,0.345679012345679,1.0
0.4,28,53,0,0,0.345679012345679,1.0
0.45,28,53,0,0,0.345679012345679,1.0
0.5,28,53,0,0,0.345679012345679,1.0
0.55,28,53,0,0,0.345679012345679,1.0
0.6,28,53,0,0,0.345679012345679,1.0
0.65,28,53,0,0,0.345679012345679,1.0
0.7,28,53,0,0,0.345679012345679,1.0
0.75,28,53,0,0,0.345679012345679,1.0
0.8,25,46,7,3,0.352112676056338,0.8928571428571429
0.85,24,39,14,4,0.38095238095238093,0.8571428571428571
0.9,17,16,37,11,0.5151515151515151,0.6071428571428571
0.95,9,0,53,19,1.0,0.32142857142857145
1.0,9,0,53,19,1.0,0.32142857142857145
