threshold,TP,FP,TN,FN,precision,recall
0.0,61,60,0,0,0.5041322314049587,1.0
0.05,61,60,0,0,0.5041322314049587,1.0
0.1,61,60,0,0,0.5041322314049587,1.0
0.15,61,60,0,0,0.5041322314049587,1.0
0.2,61,60,0,0,0.5041322314049587,1.0
0.25,61,60,0,0,0.5041322314049587,1.0
0.3,61,60,0,0,0.5041322314049587,1.0
0.35,61,60,0,0,0.5041322314049587,1.0
0.4,61,60,0,0,0.5041322314049587,1.0
0.45,61,60,0,0,0.5041322314049587,1.0
0.5,61,60,0,0,0.5041322314049587,1.0
0.55,61,60,0,0,0.5041322314049587,1.0
0.6,61,60,0,0,0.5041322314049587,1.0
0.65,61,60,0,0,0.5041322314049587,1.0
0.7,61,60,0,0,0.5041322314049587,1.0
0.75,61,60,0,0,0.5041322314049587,1.0
0.8,59,58,2,2,0.5042735042735043,0.9672131147540983
0.85,46,47,13,15,0.4946236559139785,0.7540983606557377
0.9,33,26,34,28,0.559322033898305,0.5409836065573771
0.95,14,3,57,47,0.8235294117647058,0.22950819672131148
1.0,11,0,60,50,1.0,0.18032786885245902
