threshold,TP,FP,TN,FN,precision,recall
0,181,138,0,0,0.567398119122257,1.0
0.01,149,88,50,32,0.6286919831223629,0.8232044198895028
0.02,95,32,106,86,0.7480314960629921,0.5248618784530387
0.03,62,13,125,119,0.8266666666666667,0.3425414364640884
0.04,49,6,132,132,0.8909090909090909,0.27071823204419887
0.05,45,4,134,136,0.9183673469387755,0.24861878453038674
0.06,39,2,136,142,0.9512195121951219,0.2154696132596685
0.07,35,0,138,146,1.0,0.19337016574585636
0.08,35,0,138,146,1.0,0.19337016574585636
0.09,35,0,138,146,1.0,0.19337016574585636
0.1,35,0,138,146,1.0,0.19337016574585636
