At least two dead and dozens injured when bombs go off near finish line.	At least two dead and dozens injured when bombs go off near finish line.
At least two dead and dozens injured when bombs go off near finish line.	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people
At least two dead and dozens injured when bombs go off near finish line.	Pressure cookers are believed to have been used to make the crude bombs that sent torrents of deadly shrapnel hurling into a crowd of onlookers and competitors at Monday’s Boston Marathon, experts told Fox News
At least two dead and dozens injured when bombs go off near finish line.	Two deadly bomb blasts, seconds apart, turned the 117th Boston Marathon – the nation’s premier event for elite and recreational runners – into a tragedy on Monday. Here is a timeline of how the day’s events unfolded: 9 a.m. ET — Race …
At least two dead and dozens injured when bombs go off near finish line.	When two bombs detonated in the final stretch of the Boston Marathon on Monday afternoon, runners, spectators and people across the country and around the world were stunned by the public nature of
At least two dead and dozens injured when bombs go off near finish line.	Mayhem descended on the Boston marathon Monday afternoon, when an explosion at the finish line killed at least two and injured at least 23. TIME is tracking the breaking news from the scene in downtown Boston. Follow here for constant updates. 5:45 p.m.
At least two dead and dozens injured when bombs go off near finish line.	Two bombs exploded in the packed streets near the finish line of the Boston Marathon on Monday, killing two people and injuring more than 100 in a terrifying scene of shattered glass, billowing smoke, bloodstained pavement and severed limbs, authorities said
At least two dead and dozens injured when bombs go off near finish line.	Blasts near the finish line of the renowned race caused dozens of injuries and scattered crowds.
At least two dead and dozens injured when bombs go off near finish line.	Two deadly explosions brought the Boston Marathon and much of this city to a chaotic halt Monday, killing at least three people, injuring about 140 and once again raising the specter of terrorism on American soil.
Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	At least two dead and dozens injured when bombs go off near finish line.
Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people
Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Pressure cookers are believed to have been used to make the crude bombs that sent torrents of deadly shrapnel hurling into a crowd of onlookers and competitors at Monday’s Boston Marathon, experts told Fox News
Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Two deadly bomb blasts, seconds apart, turned the 117th Boston Marathon – the nation’s premier event for elite and recreational runners – into a tragedy on Monday. Here is a timeline of how the day’s events unfolded: 9 a.m. ET — Race …
Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	When two bombs detonated in the final stretch of the Boston Marathon on Monday afternoon, runners, spectators and people across the country and around the world were stunned by the public nature of
Two explosions rocked the finish line at the Boston Marathon on Monday, killing three and wounding at least 144 people	Mayhem descended on the Boston marathon Monday afternoon, when an explosion at the finish line killed at least two and injured at least 23. TIME is tracking the breaking news from the scene in downtown Boston. Follow here for constant updates. 5:45 p.m.
