Average: 0.11320701909562916
ID	Reference	Hypothesis	wms
0	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	1.0
1	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.0019122262264107586
2	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.008053933163630516
3	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.005904179080523977
4	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.0023891171396071076
5	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.002176736398377112
6	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.0019122262264107586
7	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	1.0
8	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.002866545489429225
9	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.00415352648480962
10	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.0012694629782216218
11	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.0016421531879987669
12	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.008053933163630516
13	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.002866545489429225
14	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	1.0
15	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.00578303695696919
